state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,death,total,lastUpdateEt,checkTimeEt,dateModified,dateChecked
AK,12,1,1,1,1,A,4,686,,,698,3/20 16:30,3/20 23:22,1970-03-20T21:30:00Z,1970-03-21T04:22:00Z
AL,106,1,1,0,0,C,2,28,,0,134,3/20 17:00,3/20 21:23,1970-03-20T22:00:00Z,1970-03-21T02:23:00Z
AR,100,1,1,1,1,A,4,441,176,,717,3/20 18:21,3/20 21:29,1970-03-20T23:21:00Z,1970-03-21T02:29:00Z
AZ,65,1,1,1,0,B,3,211,101,0,377,3/20 00:00,3/20 22:16,1970-03-20T05:00:00Z,1970-03-21T03:16:00Z
CA,1241,1,1,1,0,B,3,10481,,24,11722,3/20 19:50,3/20 23:25,1970-03-21T00:50:00Z,1970-03-21T04:25:00Z
CO,363,1,1,1,1,A,4,3317,,4,3680,3/20 18:00,3/20 21:18,1970-03-20T23:00:00Z,1970-03-21T02:18:00Z
CT,194,1,0,0,0,D,1,604,,4,798,3/20 20:44,3/20 23:49,1970-03-21T01:44:00Z,1970-03-21T04:49:00Z
DC,77,1,1,1,1,A,4,506,0,1,583,3/20 20:00,3/20 21:34,1970-03-21T01:00:00Z,1970-03-21T02:34:00Z
DE,39,1,1,0,0,C,2,36,,0,75,3/20 10:00,3/20 21:36,1970-03-20T15:00:00Z,1970-03-21T02:36:00Z
FL,563,1,1,1,1,A,4,5710,1094,10,7367,3/20 18:00,3/20 21:38,1970-03-20T23:00:00Z,1970-03-21T02:38:00Z
GA,433,1,1,1,1,A,4,1953,,13,2386,3/20 19:00,3/20 21:36,1970-03-21T00:00:00Z,1970-03-21T02:36:00Z
HI,37,1,1,1,1,A,4,124,9,,170,3/20 18:00,3/20 22:46,1970-03-20T23:00:00Z,1970-03-21T03:46:00Z
IA,45,1,1,0,0,C,2,765,,,810,3/20 22:42,3/20 21:41,1970-03-21T03:42:00Z,1970-03-21T02:41:00Z
ID,31,1,1,1,1,A,4,880,,,911,3/20 19:00,3/20 22:45,1970-03-21T00:00:00Z,1970-03-21T03:45:00Z
IL,590,1,1,1,1,A,4,3696,,5,4286,3/20 00:00,3/20 23:28,1970-03-20T05:00:00Z,1970-03-21T04:28:00Z
IN,79,1,1,1,0,B,3,475,,3,554,3/20 00:59,3/20 22:47,1970-03-20T05:59:00Z,1970-03-21T03:47:00Z
KS,44,1,1,1,0,B,3,417,,1,461,3/20 11:00,3/20 23:30,1970-03-20T16:00:00Z,1970-03-21T04:30:00Z
KY,48,1,1,1,1,A,4,720,,2,768,3/20 16:00,3/20 23:49,1970-03-20T21:00:00Z,1970-03-21T04:49:00Z
LA,537,1,1,1,0,B,3,1394,,14,1931,3/20 18:30,3/20 22:50,1970-03-20T23:30:00Z,1970-03-21T03:50:00Z
MA,413,1,1,0,1,B,3,3719,,1,4132,3/20 16:00,3/20 22:57,1970-03-20T21:00:00Z,1970-03-21T03:57:00Z
MD,149,1,0,0,0,D,1,94,,1,243,3/20 10:00,3/20 23:31,1970-03-20T15:00:00Z,1970-03-21T04:31:00Z
ME,57,1,1,1,1,A,4,2264,,,2321,3/20 11:00,3/20 23:33,1970-03-20T16:00:00Z,1970-03-21T04:33:00Z
MI,549,1,1,1,1,A,4,2069,,3,2618,3/20 15:00,3/20 23:37,1970-03-20T20:00:00Z,1970-03-21T04:37:00Z
MN,115,1,1,1,1,A,4,3741,,,3856,3/20 00:00,3/20 23:35,1970-03-20T05:00:00Z,1970-03-21T04:35:00Z
MO,73,1,1,1,0,B,3,369,,3,442,3/20 22:00,3/20 23:14,1970-03-21T03:00:00Z,1970-03-21T04:14:00Z
MS,80,1,1,1,0,B,3,695,,1,775,3/20 11:35,3/20 22:29,1970-03-20T16:35:00Z,1970-03-21T03:29:00Z
MT,20,1,1,1,0,B,3,1146,,,1166,3/20 21:24,3/20 23:40,1970-03-21T02:24:00Z,1970-03-21T04:40:00Z
NC,137,1,1,1,0,B,3,3096,,0,3233,3/20 09:35,3/20 21:59,1970-03-20T14:35:00Z,1970-03-21T02:59:00Z
ND,26,1,1,1,0,B,3,912,,0,938,3/20 17:54,3/20 23:18,1970-03-20T22:54:00Z,1970-03-21T04:18:00Z
NE,38,1,1,1,1,A,4,356,,0,394,3/20 00:00,3/20 23:12,1970-03-20T05:00:00Z,1970-03-21T04:12:00Z
NH,55,1,1,1,0,B,3,973,942,,1970,3/20 09:00,3/20 22:01,1970-03-20T14:00:00Z,1970-03-21T03:01:00Z
NJ,890,1,1,1,0,B,3,264,86,11,1240,3/20 14:00,3/20 23:35,1970-03-20T19:00:00Z,1970-03-21T04:35:00Z
NM,43,1,1,1,1,A,4,3771,,,3814,3/20 00:00,3/20 22:04,1970-03-20T05:00:00Z,1970-03-21T03:04:00Z
NV,126,1,1,1,1,A,4,1992,3,2,2121,3/20 02:59,3/20 22:01,1970-03-20T07:59:00Z,1970-03-21T03:01:00Z
NY,8516,1,1,0,1,B,3,25325,,44,33841,3/20 21:22,3/20 23:08,1970-03-21T02:22:00Z,1970-03-21T04:08:00Z
OH,169,1,0,0,0,D,1,140,,1,309,3/20 14:00,3/20 22:00,1970-03-20T19:00:00Z,1970-03-21T03:00:00Z
OK,49,1,1,1,1,A,4,538,374,1,961,3/20 08:00,3/20 21:59,1970-03-20T13:00:00Z,1970-03-21T02:59:00Z
OR,114,1,1,1,1,A,4,2003,433,3,2550,3/20 11:00,3/20 21:54,1970-03-20T16:00:00Z,1970-03-21T02:54:00Z
PA,268,1,1,1,1,A,4,2574,,1,2842,3/20 12:00,3/20 21:58,1970-03-20T17:00:00Z,1970-03-21T02:58:00Z
RI,54,1,1,1,0,B,3,654,140,,848,3/19 00:00,3/20 21:57,1970-03-19T05:00:00Z,1970-03-21T02:57:00Z
SC,125,1,1,1,1,A,4,1255,,1,1380,3/20 15:59,3/20 21:45,1970-03-20T20:59:00Z,1970-03-21T02:45:00Z
SD,14,1,1,1,1,A,4,663,270,1,947,3/20 00:00,3/20 21:47,1970-03-20T05:00:00Z,1970-03-21T02:47:00Z
TN,228,1,1,1,0,B,3,563,,,791,3/20 15:00,3/20 21:42,1970-03-20T20:00:00Z,1970-03-21T02:42:00Z
TX,194,1,1,1,1,A,4,5083,,5,5277,3/20 13:00,3/20 21:37,1970-03-20T18:00:00Z,1970-03-21T02:37:00Z
UT,112,1,1,1,1,A,4,2035,,0,2147,3/20 00:00,3/20 21:32,1970-03-20T05:00:00Z,1970-03-21T02:32:00Z
VA,114,1,1,1,1,A,4,2211,,2,2325,3/20 00:00,3/20 21:32,1970-03-20T05:00:00Z,1970-03-21T02:32:00Z
VT,29,1,1,1,1,A,4,779,,2,808,3/20 14:00,3/20 21:31,1970-03-20T19:00:00Z,1970-03-21T02:31:00Z
WA,1524,1,1,1,1,A,4,21719,,83,23243,3/20 18:00,3/20 21:30,1970-03-20T23:00:00Z,1970-03-21T02:30:00Z
WI,206,1,1,1,1,A,4,3455,,3,3661,3/20 16:00,3/20 21:30,1970-03-20T21:00:00Z,1970-03-21T02:30:00Z
WV,8,1,1,1,0,B,3,330,2,0,340,3/20 00:00,3/20 21:21,1970-03-20T05:00:00Z,1970-03-21T02:21:00Z
WY,22,1,1,1,1,A,4,344,,,366,3/20 21:00,3/20 21:21,1970-03-21T02:00:00Z,1970-03-21T02:21:00Z
PR,14,1,1,1,1,A,4,114,52,,180,3/20 13:00,3/20 21:57,1970-03-20T18:00:00Z,1970-03-21T02:57:00Z
AS,,,,,,,,,,0,0,3/19 00:00,3/20 22:16,1970-03-19T05:00:00Z,1970-03-21T03:16:00Z
GU,14,,,,,,,86,,,100,3/20 05:15,3/20 23:27,1970-03-20T10:15:00Z,1970-03-21T04:27:00Z
MP,0,,,,,,,,,0,0,3/20 18:30,3/20 22:07,1970-03-20T23:30:00Z,1970-03-21T03:07:00Z
VI,6,,,,,,,,,0,6,3/20 20:30,3/20 22:05,1970-03-21T01:30:00Z,1970-03-21T03:05:00Z